医療機関略称,所在地,電話番号
たじり中央クリニック,大崎市田尻沼部字新富岡３１−７,0229-39-7955
千葉医院,大崎市古川駅前大通６丁目２−４４,0229-22-3228
冨樫クリニック,大崎市古川大宮８丁目９−１５,0229-23-4456
長井内科医院,大崎市古川三日町１丁目３－２５,0229-91-1020
鳴子温泉分院,大崎市鳴子温泉字末沢１,0229-82-2311
ＰＦＣ　ＨＯＳＰＩＴＡＬ,大崎市古川中島町１−８,0229-22-1608
古川クリニック,大崎市古川西館３丁目３−２,0229-91-9119
古川星陵病院,大崎市古川南町３丁目１−３−５,0229-23-8181
古川民主病院,大崎市古川駅東２丁目１１−１４,0229-23-5521
穂波の郷クリニック,大崎市古川穂波６丁目３０－１２,0229-24-3880
まつうら内科小児科クリニック,大崎市古川大宮１丁目１−７９,0229-23-5677
三浦病院,大崎市古川三日町２丁目３番４５号,0229-22-6656
宮里クリニック,大崎市古川城西２丁目６−２４,0229-23-7529
やまと在宅診療所大崎,大崎市古川駅東１丁目５－１７,0229-91-8981
遊佐クリニック,大崎市鳴子温泉字湯元１０４,0229-81-1133
わたなべ医院,大崎市松山千石字松山４４０,0229-55-3535
熱海医院,遠田郡美里町字素山町１８-１,0229-33-2020
小牛田内科クリニック,遠田郡美里町牛飼字牛飼７７−２,0229-32-5959
髙城利江整形外科,遠田郡美里町牛飼字牛飼７７−５,0229-31-1230
南郷病院,遠田郡美里町木間塚字原田５,0229-58-1234
野崎内科胃腸科,遠田郡美里町字藤ケ崎町１７８,0229-32-2770
野崎病院,遠田郡美里町字藤ケ崎町１７１,0229-32-4866
横山医院,遠田郡美里町関根字道明４３,0229-34-2230
ありまファミリークリニック,加美郡加美町字西町１９,0229-63-2230
伊藤医院,加美郡加美町旧舘一番８０−２,0229-63-2025
大山医院,加美郡加美町字北町二番１８１−１,0229-63-3054
おのだクリニック,加美郡加美町字下原３８番地３,0229-67-2228
佐々木胃腸科,加美郡加美町字西町４８,0229-63-3324
鈴木診療所,加美郡加美町宮崎字屋敷５−２１−２,0229-68-2121
鈴木内科医院,加美郡加美町字旧館１−１７,0229-63-3056
中新田クリニック,加美郡加美町字大門２０,0229-63-7676
中新田民主医院,加美郡加美町字矢越３４５,0229-63-2156
公立加美病院,加美郡色麻町四竃字杉成９,0229-66-2500
医療法人　東泉堂病院,遠田郡涌谷町字追廻町７０−３,0229-42-3333
米谷医院,遠田郡涌谷町字田町裏１９１−１,0229-44-1133
宮野内科医院,遠田郡涌谷町字桑木荒１１３−４,0229-43-5031
涌谷中央医院,遠田郡涌谷町涌谷字日向町３５,0229-42-2351
涌谷町国保病院,遠田郡涌谷町涌谷字中江南２７８,0229-43-5111
石越病院,登米市石越町南郷字小谷地前２４５,0228-34-3211
上沼診療所,登米市中田町上沼字新寺山下５９－１,0220-34-2120
大坂医院,登米市中田町石森字駒牽２４０−１,0220-34-6625
おおたおおたにクリニック,登米市中田町石森字加賀野２丁目２５−２４,0220-35-1161
おおともクリニック,登米市津山町柳津字幣崎４２２,0225-68-3210
小澤医院,登米市米山町中津山字明神前１６−１,0220-55-2552
小出医院,登米市登米町日野渡内ノ目３２９－１,0220-52-2303
今堂医院,登米市石越町東郷字今道１９,0228-34-3031
桜井医院,登米市登米町寺池前舟橋６－１,0220-52-3936
佐幸医院,登米市迫町佐沼字錦１０,0220-22-7003
ささはら総合診療科,登米市迫町佐沼字江合１丁目８−８,0220-21-5660
佐藤医院,登米市南方町畑岡下７−５,0220-58-2058
佐藤医院,登米市豊里町横町６０,0225-76-3420
佐藤内科医院,登米市迫町佐沼字光ケ丘５１−１,0220-22-2160
サンクリニック,登米市南方町鴻ノ木１５２−１,0220-29-6060
しのはらクリニック,登米市米山町西野字西野前２０２－１,0220-23-7387
島医院,登米市南方町西山成前１３３,0220-29-6056
菅原内科クリニック,登米市迫町佐沼字八幡３丁目４−２,0220-22-0888
田中医院,登米市迫町佐沼字小金丁５３−２,0220-22-1155
千葉医院,登米市迫町佐沼字天神前８０,0220-22-3725
東北新生園所属所診療部,登米市迫町新田字上葉ノ木沢１,0228-38-2121
登米市立登米市民病院,登米市迫町佐沼字下田中２５,0220-22-5511
登米市立豊里病院,登米市豊里町土手下７４−１,0225-76-2023
登米市立米谷病院,登米市東和町米谷字元町２００,0220-42-2007
新田診療所,登米市迫町新田字山田９−３,0220-28-3398
二瓶内科胃腸科医院,登米市迫町佐沼字中江３丁目７−７,0220-22-6508
三浦消化器内科,登米市中田町石森字蓬田１９５,0220-34-3611
八木小児科医院,登米市迫町佐沼字西佐沼１２５,0220-22-2566
八嶋中央診療所,登米市石越町南郷字矢作１３８,0228-34-2013
やまと在宅診療所登米,登米市迫町佐沼字南元丁７２,0220-23-9832
遊佐内科胃腸科医院,登米市迫町佐沼字南佐沼１丁目４−１５,0220-22-2177
米川診療所,登米市東和町米川字町下５９−１,0220-45-2301
わたなべ内科クリニック,登米市迫町佐沼字大網２２４−１,0220-21-5335
阿部内科医院,栗原市若柳字川北東若柳７８,0228-32-6929
石橋病院,栗原市若柳字川北堤下２７,0228-32-2583
一迫内科クリニック,栗原市一迫真坂字真坂町東６６−１,0228-52-2122
岩渕医院,栗原市栗駒岩ヶ崎上町裏７,0228-45-2155
鶯沢診療所,栗原市鶯沢南郷広面３８−１,0228-55-3511
氏家医院,栗原市若柳川南南大通２丁目１０,0228-32-2328
きくた内科クリニック,栗原市築館源光４−４７,0228-21-1313
熊坂医院,栗原市一迫字川口中野１０,0228-54-2311
くりこまクリニック,栗原市栗駒岩ヶ崎上小路１５３,0228-45-2128
栗駒病院,栗原市栗駒岩ケ崎松木田１０−１,0228-45-2211
栗原市立若柳病院,栗原市若柳字川北原畑２３−４,0228-32-2335
栗原中央病院,栗原市築館宮野中央３丁目１−１,0228-21-5330
佐々木内科医院,栗原市若柳字川北欠２１-１,0228-32-6633
佐藤外科医院,栗原市築館伊豆１丁目６−２５,0228-22-2661
佐藤内科小児科医院,栗原市築館伊豆１丁目１０−２５,0228-22-3205
沢辺中央医院,栗原市金成沢辺木戸口７４−３,0228-42-1171
志波姫診療所,栗原市志波姫新沼崎１４６,0228-25-3133
瀬峰診療所,栗原市瀬峰長者原３７−２,0228-38-3121
せみねの丘クリニック,栗原市瀬峰根岸５５－２,0228-38-4133
高清水診療所,栗原市高清水桜丁７,0228-58-2020
高橋ハートクリニック,栗原市瀬峰下田１７０−３,0228-59-2005
達内科,栗原市築館薬師４丁目３−３０,0228-22-2655
たまがけ医院,栗原市一迫真坂字町東２８,0228-52-5115
萩野診療所,栗原市金成有壁上原前４−７,0228-44-2005
花山診療所,栗原市花山字本沢北ノ前７８－２,0228-56-2013
日野クリニック,栗原市志波姫新沼崎５０−２,0228-23-7100
日野外科内科,栗原市築館薬師３丁目３−３３,0228-22-2005
平田内科整形外科歯科,栗原市栗駒岩ヶ崎上小路１１２,0228-45-2126
ほそや小児科,栗原市栗駒岩ヶ崎神南２７−４,0228-45-5660
まるき内科クリニック,栗原市志波姫堀口十文字１－１,0228-24-8073
宮城島クリニック,栗原市一迫真坂字清水山王前６−５,0228-52-2881
やまと在宅診療所栗原サテライト,栗原市志波姫沼崎南沖６４５　まるげんハイツＡ号室,0228-24-9055
令和クリニック,栗原市若柳字川南上堤９０－３,0228-32-5430
若柳消化器内科,栗原市若柳字川北古川１４,0228-32-2316
あいざわクリニック,気仙沼市東新城２丁目９−１,0226-21-1160
猪苗代医院,気仙沼市三日町２丁目１−９,0226-24-7180
猪苗代病院,気仙沼市南町１丁目３−７,0226-22-7180
うちクリニック,気仙沼市東新城１丁目６−１３,0226-23-0087
大里胃腸科内科婦人科医院,気仙沼市南郷２−２,0226-22-7157
大島医院,気仙沼市高井２１５−２,0226-28-2603
大友医院,気仙沼市三日町２丁目２−２５,0226-22-6868
おだか医院,気仙沼市田中前４丁目１０−２,0226-22-3210
小野医院,気仙沼市唐桑町宿浦４０５−８,0226-32-3128
小野寺医院,気仙沼市赤岩五駄鱈７６−１,0226-23-9890
葛内科胃腸科医院,気仙沼市田中前２丁目８−８,0226-22-6750
気仙沼市立病院,気仙沼市赤岩杉ノ沢８番地２,0226-22-7100
小松クリニック,気仙沼市東八幡前２７０−６,0226-21-5770
こまつ内科医院,気仙沼市田谷11-11,0226-29-6482
佐々木小児科医院,気仙沼市本郷９−２,0226-22-6811
三条小児科医院,気仙沼市田中前２丁目８−４,0226-23-0088
すがわら内科クリニック,気仙沼市松崎萱１２１－３,0226-25-8825
鈴木医院,気仙沼市長磯原ノ沢５０−２,0226-27-2315
中原クリニック,気仙沼市田谷１−２,0226-23-1028
三峰病院,気仙沼市松崎柳沢２１６−５,0226-22-6685
南気仙沼内科医院,気仙沼市内の脇１丁目６－１５－１,0226-25-7412
もとよしクリニック,気仙沼市本吉町津谷長根８６－３,0226-25-7585
本吉病院,気仙沼市本吉町津谷明戸２２２−２,0226-42-2621
森田医院,気仙沼市八日町１丁目４−１,0226-22-6633
歌津八番クリニック,本吉郡南三陸町歌津字枡沢７７−１,0226-36-9511
佐藤徹内科,本吉郡南三陸町志津川字沼田１４４−４５,0226-47-1175
南三陸病院,本吉郡南三陸町志津川字沼田１４－３,0226-46-3646
朝倉医院,白石市字本町８９,0224-25-2101
海上内科医院,白石市長町５６−１,0224-25-1501
梅津内科医院,白石市字銚子ケ森１０−１３,0224-24-3571
えんどうクリニック,白石市兎作４０−１,0224-26-3888
大泉記念病院,白石市福岡深谷字一本松５−１,0224-22-2111
柿崎小児科,白石市沢端町１−３７,0224-25-2210
加藤小児科内科医院,白石市大手町３−１３,0224-26-2653
かんのリズムハートクリニック,白石市鷹巣東３丁目８－３,0224-26-6330
公立刈田綜合病院,白石市福岡蔵本字下原沖３６,0224-25-2145
こまつクリニック,白石市城南２丁目２−６,0224-22-2115
白石今野医院,白石市郡山字虎子沢山１−３,0224-25-2822
たかはし内科クリニック,白石市城北町４−１１,0224-22-2535
塚本内科消化器科,白石市城南１丁目２−２９,0224-26-1026
つつみ内科外科こどもクリニック,白石市清水小路６,0224-25-1181
引地クリニック,白石市鷹巣東１丁目５－２６,0224-26-2823
水野内科クリニック,白石市沢端町３−４３,0224-25-2736
内方医院,刈田郡蔵王町宮字町３２,0224-32-2101
国保蔵王病院,刈田郡蔵王町大字円田字和田１３０,0224-33-2260
佐藤医院,刈田郡蔵王町宮字町３６,0224-32-2002
七ヶ宿町国保診療所,刈田郡七ヶ宿町字関１８３,0224-37-2002
七ヶ宿町湯原診療所,刈田郡七ヶ宿町字東口道下４−６,0224-37-3055
あいのもりクリニック,名取市愛の杜１丁目２−１,022-784-1550
あべ脳神経クリニック,名取市上余田字市の坪２７０,022-381-5035
エアリ総合内科漢方クリニック,名取市杜せきのした５丁目３−１　イオンモール名取１階,022-797-8601
かとうこどもクリニック,名取市杜せきのした２丁目６−８,022-399-9152
金沢内科胃腸科,名取市小山２丁目３−３２,022-382-3388
桑島クリニック,名取市箱塚１丁目１９−３５,022-381-5080
笹川医院,名取市増田２丁目３−８　高芳店舗１階,022-382-3025
さとうクリニック,名取市手倉田字諏訪５６５−１,022-384-1883
鈴木ゆうクリニック,名取市手倉田字八幡３３８−８,022-381-6868
ストレスケア・クリニック　ルメート,名取市杜せきのした５丁目１２−１,022-784-3033
せきのした総合クリニック,名取市杜せきのした１丁目８−２３,022-383-7557
仙台空港北クリニック,名取市美田園８丁目１−８,022-797-9523
曽我内科こどもクリニック,名取市杉ケ袋字前沖７１−１,022-381-5988
武田内科医院,名取市増田２丁目６−１１,022-382-3100
館腰クリニック,名取市植松４丁目１７−１６,022-383-6677
たんのクリニック,名取市手倉田字諏訪５９９−１,022-381-5233
丹野小児科医院,名取市大手町３丁目６２０−１,022-382-3780
時計台クリニック,名取市杜せきのした２丁目６−７,022-398-3353
那智が丘クリニック,名取市那智が丘４丁目１９−１,022-386-5311
名取熊野堂病院,名取市高舘熊野堂字岩口下６８−１,022-386-2131
名取市休日夜間急患センター,名取市下余田字鹿島７４－３,022-384-0001
なとり整形,名取市小山２丁目１−５,022-382-2362
名取中央クリニック,名取市増田字柳田８,022-383-5252
名取透析クリニック,名取市美田園６丁目２－６,022-302-7522
なとり皮膚科くまのどう内科下肢静脈瘤クリニック,名取市高舘熊野堂岩口下４５－３,022-796-3282
浜田Ａ＆Ｂクリニック,名取市手倉田字堰根３７７−１,022-384-7225
ひまわり内科・消化器科クリニック,名取市みどり台２丁目４−３,022-386-8333
洞口・佐藤クリニック,名取市増田１丁目５−１２,022-382-2333
みどり台小児科外科内科,名取市みどり台１丁目３−１,022-386-7220
めでしまのさと内科クリニック,名取市愛島郷１丁目１６－２８,022-302-6551
毛利内科,名取市増田６丁目２−８,022-384-8052
守健診内科,名取市増田１丁目９－２１,022-384-5171
森内科クリニック,名取市下余田字鹿島８６－５,022-383-3070
ゆりあげクリニック,名取市美田園７丁目１７番地の３,022-738-7081
あおば内科・胃腸内科クリニック,岩沼市恵み野２丁目２－２,0223-29-3741
ありた総合内科,岩沼市中央３丁目４−２７,0223-25-2561
いたのこどもクリニック,岩沼市恵み野１－７－６,0223-29-4158
岩沼クリニック,岩沼市館下２丁目１−１９,0223-25-6858
おなかのクリニック,岩沼市たけくま２丁目４−１７,0223-25-6188
佐藤医院,岩沼市中央２丁目５−３０,0223-22-2848
スズキ記念病院,岩沼市里の杜３丁目５−５,0223-23-3111
西陵内科,岩沼市土ケ崎３丁目８−８,0223-22-1818
てんかん病院　ベーテル,岩沼市北長谷字畑向山南２７番地４,0223-24-1211
なくいクリニック,岩沼市あさひ野１丁目１１－２,0223-35-7461
脳外科内科すずきクリニック,岩沼市桑原４丁目１１−１８,0223-25-6567
本郷医院,岩沼市中央３丁目４−１６,0223-24-2100
緑の里クリニック,岩沼市北長谷字畑向山南２７−２,0223-23-2678
南東北病院,岩沼市里の杜１丁目２−５,0223-23-3151
南浜中央病院,岩沼市寺島字北新田１１１,0223-24-1861
森川こどもクリニック,岩沼市土ケ崎４丁目１−１２,0223-25-2711
安田内科医院,岩沼市大手町８−１１,0223-22-2693
山本クリニック,岩沼市中央１丁目３−１２,0223-22-2630
柿沼循環器科,亘理郡亘理町逢隈中泉字中１７８−１,0223-32-2871
熊谷内科医院,亘理郡亘理町字中町東１７１−１,0223-34-5140
県南ありのまま舎診療所,亘理郡亘理町字旧舘６１－７,0223-23-0803
高橋内科乳腺外科,亘理郡亘理町逢隈中泉字沼添７３－１,0223-33-1121
ヒロミ小児科,亘理郡亘理町字下小路１８−１,0223-34-3204
三浦クリニック,亘理郡亘理町字新町４０,0223-33-1811
三上医院,亘理郡亘理町字裏城戸１７９−１,0223-34-3711
やべ内科クリニックわたり,亘理郡亘理町吉田字松崎７０−１,0223-34-3003
山形外科医院,亘理郡亘理町字旧舘１７−１,0223-34-3171
やまだクリニック,亘理郡亘理町字下小路１６－１,0223-23-1107
亘理往診クリニック,亘理郡亘理町逢隈中泉字本木４－１　１Ｆ,0223-23-1531
浅生原クリニック,亘理郡山元町浅生原字日向２０－２,0223-23-0345
菊地内科医院,亘理郡山元町浅生原作田山２−７２,0223-37-3300
国立宮城病院,亘理郡山元町高瀬字合戦原１００番地,0223-37-1131
松村クリニック,亘理郡山元町坂元字道合３７,0223-38-0005
阿部内科医院,角田市角田字牛舘８９−３,0224-63-3335
角田ふれあいクリニック,角田市角田字豊町１−３,0224-63-0062
金上病院,角田市角田字田町１２３,0224-63-1032
仙南病院,角田市角田字牛舘１６,0224-63-2003
高山医院,角田市角田字町２４３,0224-63-2304
同済病院,角田市佐倉字上土浮２,0224-63-0360
名取医院,角田市角田字南６１−１,0224-63-2347
なのはなクリニック,角田市角田字扇町１０−１,0224-86-3991
丸森病院,伊具郡丸森町字鳥屋２７,0224-72-2131
三澤医院,伊具郡丸森町字大舘３−１１０,0224-72-1166
山本医院,伊具郡丸森町字町西６２−１,0224-72-1351
甘糟医院,柴田郡大河原町大谷字末広８１,0224-53-1460
安藤医院,柴田郡大河原町大谷字盛１６,0224-52-1123
かわち医院,柴田郡大河原町東新町１０−７,0224-52-3115
日下内科医院,柴田郡大河原町字町７３,0224-52-1058
さくら小児科医院,柴田郡大河原町住吉町１１−１,0224-51-5355
さくら内科消化器科,柴田郡大河原町住吉町１１-１,0224-53-5151
庄司クリニック,柴田郡大河原町大谷字戸ノ内前３５−１,0224-51-3741
仙南夜間初期急患センター,柴田郡大河原町字西３８－１,0224-51-9986
平井内科,柴田郡大河原町字甲子町３−５,0224-52-2777
南桜ホームケアクリニック,柴田郡大河原町字南桜町７−８,0224-51-0721
みやぎ県南中核病院,柴田郡大河原町字西３８−１,0224-51-5500
町南診療所,柴田郡村田町大字村田字町南３３−１,0224-83-5503
村田診療所,柴田郡村田町大字村田字西６２,0224-83-2445
村田透析クリニック,柴田郡村田町大字沼辺字新小谷地27番地2,0224-86-5755
村田内科クリニック,柴田郡村田町大字小泉字西浦８４−１,0224-83-6061
善積医院,柴田郡村田町大字村田字西４６,0224-83-2172
乾医院,柴田郡柴田町槻木下町３丁目１−２０,0224-56-1451
いのまた胃と腸・内科クリニック,柴田郡柴田町槻木上町２丁目７－２５,0224-87-8750
太田内科,柴田郡柴田町船岡中央３丁目３−３４,0224-55-1702
大沼胃腸科内科外科医院,柴田郡柴田町槻木上町３丁目１−１０,0224-56-1441
おおぬま小児科,柴田郡柴田町槻木上町１丁目１−５１,0224-87-7561
しばた協同クリニック,柴田郡柴田町船岡新栄４丁目４−１,0224-57-2310
仙台大学 健康管理センター付属診療所,柴田郡柴田町船岡南２丁目２−１８,
仙南中央病院,柴田郡柴田町北船岡１丁目２−1,0224-54-1210
高沢内科,柴田郡柴田町西船迫３丁目５−１,0224-57-1231
玉渕医院,柴田郡柴田町槻木上町１丁目１−５４,0224-56-1012
船岡今野病院,柴田郡柴田町船岡中央２丁目５−１６,0224-54-1034
ふなばさま医院,柴田郡柴田町大字本船迫字上町２６−３２,0224-58-2220
宮上クリニック,柴田郡柴田町西船迫２丁目７−１,0224-55-4103
村川医院,柴田郡柴田町船岡中央２丁目９−１６,0224-54-2316
国保川崎病院,柴田郡川崎町大字前川字北原２３−１,0224-84-2119
田中医院,柴田郡川崎町山長７４,0224-84-2225
山家内科小児科医院,柴田郡川崎町大字前川字中町７６−２,0224-84-2023
きぼうの杜診療所,黒川郡大和町吉田字新要害１０,022-344-4607
公立黒川病院,黒川郡大和町吉岡字西桧木６０,022-345-3101
瀬戸医院,黒川郡大和町吉岡字上町７２,022-345-2630
大和クリニック,黒川郡大和町まいの２丁目２-４,022-345-3411
田山小児科医院,黒川郡大和町吉岡字館下２２−５,022-345-0738
東京エレクトロン宮城株式会社　医務室,黒川郡大和町テクノヒルズ１番,
深見クリニック,黒川郡大和町吉岡字上道下４０−１,022-345-3693
吉岡まほろばクリニック,黒川郡大和町吉岡まほろば１丁目５－４,022-345-9901
杉山医院,黒川郡大郷町羽生字中ノ町１１－１,022-359-4123
あおぞら在宅診療所　富谷仙台,富谷市あけの平２丁目３－８,022-342-1097
明石台こども,富谷市明石台６丁目１－２０　生協ショッピングセンター内,022-725-8815
明石台整形外科,富谷市明石台２丁目２２−５,022-351-2322
明石台レディースクリニック,富谷市明石台２丁目１３−１,022-772-8188
明石台内科,富谷市明石台５丁目１−４,022-772-5555
医）いとうクリニック,富谷市成田４丁目１−１１,022-348-3051
大清水内科クリニック,富谷市大清水１丁目２−３,022-346-0482
上桜木しんがい脳神経外科,富谷市上桜木２丁目３−１４,022-779-1377
渋谷クリニック,富谷市日吉台２丁目３８−１０,022-348-5211
仙台リハビリテーション病院,富谷市成田１丁目３−１,022-351-8118
たいとみ胃腸内科,富谷市日吉台２丁目３４−２,022-725-7201
Town Clinic en,富谷市明石台７丁目１－５,022-358-1976
ちば小児科,富谷市富谷北裏４７,022-358-0601
富ケ丘内科・アレルギー科,富谷市富ケ丘２丁目１１－４４,022-343-5512
富谷医院,富谷市ひより台１丁目４５−１,022-358-2872
富谷中央病院,富谷市上桜木２丁目１番地６,022-779-1470
のりこ小児科,富谷市日吉台２丁目２４−２,022-358-1212
日吉台きむら内科,富谷市日吉台１丁目２１−１,022-348-0722
やすこ女性クリニック,富谷市明石台６丁目１－２０,022-342-1255
大衡村診療所,黒川郡大衡村大衡字河原５５−１１,022-345-2336
